,date,SPY
165,2019-11-11,3087.010009765625
166,2019-11-12,3091.840087890625
167,2019-11-13,3094.0400390625
168,2019-11-14,3096.6298828125
169,2019-11-15,3120.4599609375
170,2019-11-18,3122.030029296875
171,2019-11-19,3120.179931640625
172,2019-11-20,3108.4599609375
173,2019-11-21,3103.5400390625
174,2019-11-22,3110.2900390625
175,2019-11-25,3133.639892578125
176,2019-11-26,3140.52001953125
177,2019-11-27,3153.6298828125
178,2019-11-29,3140.97998046875
179,2019-12-02,3113.8701171875
180,2019-12-03,3093.199951171875
181,2019-12-04,3112.760009765625
182,2019-12-05,3117.429931640625
183,2019-12-06,3145.909912109375
184,2019-12-09,3135.9599609375
185,2019-12-10,3132.52001953125
186,2019-12-11,3141.6298828125
187,2019-12-12,3168.570068359375
188,2019-12-13,3168.800048828125
189,2019-12-16,3191.449951171875
190,2019-12-17,3192.52001953125
191,2019-12-18,3191.139892578125
192,2019-12-19,3205.3701171875
193,2019-12-20,3221.219970703125
194,2019-12-23,3224.010009765625
195,2019-12-24,3223.3798828125
196,2019-12-26,3239.909912109375
197,2019-12-27,3240.02001953125
198,2019-12-30,3221.2900390625
199,2019-12-31,3230.780029296875
200,2020-01-02,3257.85009765625
201,2020-01-03,3234.85009765625
202,2020-01-06,3246.280029296875
203,2020-01-07,3237.179931640625
204,2020-01-08,3253.050048828125
205,2020-01-09,3274.699951171875
206,2020-01-10,3265.35009765625
207,2020-01-13,3288.1298828125
208,2020-01-14,3283.14990234375
209,2020-01-15,3289.2900390625
210,2020-01-16,3316.81005859375
211,2020-01-17,3329.6201171875
212,2020-01-21,3320.7900390625
213,2020-01-22,3321.75
214,2020-01-23,3325.5400390625
215,2020-01-24,3295.469970703125
216,2020-01-27,3243.6298828125
217,2020-01-28,3276.239990234375
218,2020-01-29,3273.39990234375
219,2020-01-30,3283.659912109375
220,2020-01-31,3225.52001953125
221,2020-02-03,3248.919921875
222,2020-02-04,3297.590087890625
223,2020-02-05,3334.68994140625
224,2020-02-06,3345.780029296875
225,2020-02-07,3327.7099609375
226,2020-02-10,3352.090087890625
227,2020-02-11,3357.75
228,2020-02-12,3379.449951171875
229,2020-02-13,3373.93994140625
230,2020-02-14,3380.159912109375
231,2020-02-18,3370.2900390625
232,2020-02-19,3386.14990234375
233,2020-02-20,3373.22998046875
234,2020-02-21,3337.75
235,2020-02-24,3225.889892578125
236,2020-02-25,3128.2099609375
237,2020-02-26,3116.389892578125
238,2020-02-27,2978.760009765625
239,2020-02-28,2954.219970703125
240,2020-03-02,3090.22998046875
241,2020-03-03,3003.3701171875
242,2020-03-04,3130.1201171875
243,2020-03-05,3023.93994140625
244,2020-03-06,2972.3701171875
245,2020-03-09,2746.56005859375
246,2020-03-10,2882.22998046875
247,2020-03-11,2741.3798828125
248,2020-03-12,2480.639892578125
249,2020-03-13,2711.02001953125
250,2020-03-16,2386.1298828125
251,2020-03-17,2529.18994140625
252,2020-03-18,2398.10009765625
253,2020-03-19,2409.389892578125
254,2020-03-20,2304.919921875
255,2020-03-23,2237.39990234375
256,2020-03-24,2447.330078125
257,2020-03-25,2475.56005859375
258,2020-03-26,2630.070068359375
259,2020-03-27,2541.469970703125
260,2020-03-30,2626.64990234375
261,2020-03-31,2584.590087890625
262,2020-04-01,2470.5
263,2020-04-02,2526.89990234375
264,2020-04-03,2488.64990234375
265,2020-04-06,2663.679931640625
266,2020-04-07,2659.409912109375
267,2020-04-08,2749.97998046875
268,2020-04-09,2789.820068359375
269,2020-04-13,2761.6298828125
270,2020-04-14,2846.06005859375
271,2020-04-15,2783.360107421875
272,2020-04-16,2799.550048828125
273,2020-04-17,2874.56005859375
274,2020-04-20,2823.159912109375
275,2020-04-21,2736.56005859375
276,2020-04-22,2799.31005859375
277,2020-04-23,2797.800048828125
278,2020-04-24,2836.739990234375
279,2020-04-27,2878.47998046875
280,2020-04-28,2863.389892578125
281,2020-04-29,2939.510009765625
282,2020-04-30,2912.429931640625
